ItemID,year,WeekIdentifier,SalesChannel,Territory,NewBasePrice,TotalInventory,StoreInventory,WarehouseInventory,StockedStorePercentage,SellingStoresRatio,InboundInventory,SalesQuantity,ProjectedInventory,revenues,Category,SubCategory
MkRIDAs69,2018,16,Stores,AXX,11.26,275,54,221,0.6658499999999999,0.0674,116,9.0,0,101.34,HZlnatsW,14iCK1vp
MkRIDAs69,2018,17,E-commerce,AXX,11.26,8,0,8,0.0579,0.0049,0,5.0,0,56.3,HZlnatsW,14iCK1vp
MkRIDAs69,2018,17,Stores,YXX,11.26,9,5,4,0.1496,0.0864,0,6.0,0,67.56,HZlnatsW,14iCK1vp
MkRIDAs69,2018,17,Stores,AXX,11.26,166,58,108,0.75195,0.3678,2,58.0,0,653.08,HZlnatsW,14iCK1vp
MkRIDAs69,2018,18,Stores,YXX,11.26,10,7,3,0.1466,0.117,0,12.0,0,135.12,HZlnatsW,14iCK1vp
MkRIDAs69,2018,18,Stores,AXX,11.26,138,63,75,0.69565,0.6351,0,138.0,0,1553.88,HZlnatsW,14iCK1vp
MkRIDAs69,2018,18,E-commerce,AXX,11.26,11,4,7,0.0999,0.1039,0,4.0,0,45.04,HZlnatsW,14iCK1vp
MkRIDAs69,2018,19,E-commerce,AXX,11.26,10,1,9,0.0619,0.0269,0,2.0,0,22.52,HZlnatsW,14iCK1vp
MkRIDAs69,2018,19,Stores,YXX,11.26,12,6,6,0.2105,0.0921,0,8.0,0,90.08,HZlnatsW,14iCK1vp
MkRIDAs69,2018,19,Stores,AXX,11.26,141,78,63,0.74195,0.42,0,59.0,0,664.34,HZlnatsW,14iCK1vp
MkRIDAs69,2018,20,E-commerce,AXX,11.26,10,0,10,0.0589,0.0789,0,7.0,0,78.82,HZlnatsW,14iCK1vp
MkRIDAs69,2018,20,Stores,YXX,11.26,12,10,2,0.1355,0.0911,0,7.0,0,78.82,HZlnatsW,14iCK1vp
MkRIDAs69,2018,20,Stores,AXX,11.26,135,83,52,0.73495,0.3065,0,48.0,0,540.48,HZlnatsW,14iCK1vp
MkRIDAs69,2018,21,E-commerce,AXX,11.26,8,1,7,0.0279,0.0339,0,8.0,0,90.08,HZlnatsW,14iCK1vp
MkRIDAs69,2018,21,Stores,YXX,11.26,9,6,3,0.10096,0.0953,0,4.0,0,45.04,HZlnatsW,14iCK1vp
MkRIDAs69,2018,21,Stores,AXX,11.26,134,91,43,0.34276,0.3228,0,44.0,0,495.44,HZlnatsW,14iCK1vp
MkRIDAs69,2018,22,E-commerce,AXX,11.26,11,2,9,0.0919,0.0059,0,3.0,0,33.78,HZlnatsW,14iCK1vp
MkRIDAs69,2018,22,Stores,YXX,11.26,10,6,4,0.1755,0.0594,0,9.0,0,101.34,HZlnatsW,14iCK1vp
MkRIDAs69,2018,22,Stores,AXX,11.26,126,85,41,0.7859499999999999,0.3444,0,52.0,0,585.52,HZlnatsW,14iCK1vp
MkRIDAs69,2018,23,E-commerce,AXX,11.26,10,1,9,0.0409,0.0549,0,8.0,0,90.08,HZlnatsW,14iCK1vp
MkRIDAs69,2018,23,Stores,YXX,11.26,11,6,5,0.2244,0.0413,0,6.0,0,67.56,HZlnatsW,14iCK1vp
MkRIDAs69,2018,23,Stores,AXX,11.26,120,81,39,0.72495,0.4600999999999999,0,70.0,0,788.2,HZlnatsW,14iCK1vp
MkRIDAs69,2018,24,E-commerce,AXX,11.26,9,2,7,0.0839,0.0199,0,2.0,0,22.52,HZlnatsW,14iCK1vp
MkRIDAs69,2018,24,Stores,YXX,11.26,7,6,1,0.1275,0.1018999999999999,0,9.0,0,101.34,HZlnatsW,14iCK1vp
MkRIDAs69,2018,24,Stores,AXX,11.26,112,94,18,0.70595,0.5448,6,96.0,0,1080.96,HZlnatsW,14iCK1vp
MkRIDAs69,2018,25,E-commerce,AXX,11.26,8,3,5,0.0729,0.0159,0,7.0,0,78.82,HZlnatsW,14iCK1vp
MkRIDAs69,2018,25,Stores,YXX,11.26,9,7,2,0.2044,0.0913,0,8.0,0,90.08,HZlnatsW,14iCK1vp
MkRIDAs69,2018,25,Stores,AXX,11.26,100,95,5,0.70795,0.5640000000000001,0,117.0,0,1317.42,HZlnatsW,14iCK1vp
MkRIDAs69,2018,26,E-commerce,AXX,11.26,10,4,6,0.0729,0.0669,0,3.0,0,33.78,HZlnatsW,14iCK1vp
MkRIDAs69,2018,26,Stores,YXX,11.26,8,8,0,0.1354,0.1154,0,9.0,0,101.34,HZlnatsW,14iCK1vp
MkRIDAs69,2018,26,Stores,AXX,11.26,93,88,5,0.6841,0.3616,0,77.0,0,867.02,HZlnatsW,14iCK1vp
MkRIDAs69,2018,27,E-commerce,AXX,11.26,10,2,8,0.0899,0.0739,0,5.0,0,56.3,HZlnatsW,14iCK1vp
MkRIDAs69,2018,27,Stores,YXX,11.26,11,6,5,0.1904,0.1067,0,3.0,0,33.78,HZlnatsW,14iCK1vp
MkRIDAs69,2018,27,Stores,AXX,11.26,88,85,3,0.7623,0.3223,0,54.0,0,608.04,HZlnatsW,14iCK1vp
MkRIDAs69,2018,28,E-commerce,AXX,11.26,6,0,6,0.0299,0.0479,0,4.0,0,45.04,HZlnatsW,14iCK1vp
MkRIDAs69,2018,28,Stores,YXX,11.26,9,6,3,0.1944,0.0235,0,7.0,0,78.82,HZlnatsW,14iCK1vp
MkRIDAs69,2018,28,Stores,AXX,11.26,82,77,5,0.6984,0.2891,0,53.0,0,596.78,HZlnatsW,14iCK1vp
MkRIDAs69,2018,29,E-commerce,AXX,11.26,8,1,7,0.0569,0.0899,0,4.0,0,45.04,HZlnatsW,14iCK1vp
MkRIDAs69,2018,29,Stores,YXX,11.26,7,6,1,0.1553999999999999,0.0855,0,8.0,0,90.08,HZlnatsW,14iCK1vp
MkRIDAs69,2018,29,Stores,AXX,11.26,78,77,1,0.7206999999999999,0.2213,0,39.0,0,439.14,HZlnatsW,14iCK1vp
MkRIDAs69,2018,30,E-commerce,AXX,11.26,7,0,7,0.0689,0.0229,0,3.0,0,33.78,HZlnatsW,14iCK1vp
MkRIDAs69,2018,30,Stores,AXX,11.26,75,71,4,0.6618,0.265,0,34.0,0,382.84,HZlnatsW,14iCK1vp
MkRIDAs69,2018,30,Stores,YXX,11.26,9,4,5,0.1856,0.0527,0,7.0,0,78.82,HZlnatsW,14iCK1vp
MkRIDAs69,2018,31,E-commerce,AXX,11.26,10,3,7,0.0739,0.0059,0,4.0,0,45.04,HZlnatsW,14iCK1vp
MkRIDAs69,2018,31,Stores,YXX,11.26,7,7,0,0.1447,0.0695,0,6.0,0,67.56,HZlnatsW,14iCK1vp
MkRIDAs69,2018,31,Stores,AXX,11.26,71,68,3,0.7412,0.2289,0,44.0,0,495.44,HZlnatsW,14iCK1vp
MkRIDAs69,2018,32,E-commerce,AXX,11.26,7,4,3,0.1039,0.0539,0,5.0,0,56.3,HZlnatsW,14iCK1vp
MkRIDAs69,2018,32,Stores,YXX,11.26,9,4,5,0.2029,0.1145,0,13.0,0,146.38,HZlnatsW,14iCK1vp
MkRIDAs69,2018,32,Stores,AXX,11.26,66,65,1,0.6692,0.2177,0,29.0,0,326.54,HZlnatsW,14iCK1vp
